"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"e00712-G",2119,1860,12,272,0,0
"e00712-H",24190,23595,23561,23333,21673,21583
"e00712-I",1772,1538,1483,48,0,0
"e00712-J",35761,35448,35434,35443,35230,32778
"e00712-K",1311,1127,1082,32,0,0
"e00712-L",27419,26687,26680,26491,26479,25956
"e00713-G",17765,17364,17354,17328,17324,17324
"e00713-H",2845,2618,1067,1054,1048,1048
"e00713-I",2146,1879,16,32,0,0
"e00713-J",28456,28067,26630,26603,26027,24755
"e00713-K",1871,1583,11,27,10,10
"e00713-L",21477,20765,19468,19449,19127,15863
"e00714-G",2180,1749,1665,200,0,0
"e00714-H",3332,2896,79,70,60,60
"e00714-I",328,271,258,26,0,0
"e00714-J",48962,48540,48524,48523,48452,48072
"e00714-K",1348,1037,945,13,0,0
"e00714-L",30570,29604,28212,28209,26528,23749
"e00715-G",2833,2534,26,53,20,20
"e00715-H",32439,31670,31658,31611,31584,31309
"e00715-I",22193,21998,21993,21891,21890,21890
"e00715-J",61929,61401,61339,61357,61266,61122
"e00715-K",1937,1646,14,164,0,0
"e00715-L",20918,20220,18671,18674,17972,13196
"e00716-G",2403,2056,16,15,14,14
"e00716-H",721,608,1,446,0,0
"e00716-I",2477,2152,2099,1601,0,0
"e00716-J",593,483,453,2,0,0
"e00716-K",1540,1290,3,41,0,0
"e00716-L",690,562,108,155,0,0
"e00717-G",28558,27872,27865,27856,27852,27852
"e00717-H",54032,52740,52720,52727,52719,52635
"e00717-I",745,661,632,8,0,0
"e00717-J",33336,32888,32210,32217,32210,32208
"e00717-K",1690,1447,1385,1256,0,0
"e00717-L",2043,1629,36,39,31,31
"e00718-G",3008,2703,315,60,0,0
"e00718-H",2483,2253,15,13,8,8
"e00718-I",485,437,18,16,15,15
"e00718-J",2362,2142,10,390,0,0
"e00718-K",3243,3008,1301,1287,1275,1275
"e00718-L",38526,37535,37520,37499,35382,35367
"e00719-G",2709,2425,23,9,8,8
"e00719-H",2789,2521,2234,122,0,0
"e00719-I",2094,1879,29,25,24,24
"e00719-J",8565,8483,8399,8407,8236,8234
"e00719-K",1775,1539,25,287,0,0
"e00719-L",14208,13624,11752,11726,11724,1107
"e00833-G",2460,2146,11,15,11,11
"e00833-H",31031,30295,30291,30278,30086,30086
"e00833-I",2247,2033,10,397,0,0
"e00833-J",40522,40169,40062,40080,39974,39960
"e00833-K",1757,1508,27,39,0,0
"e00833-L",27986,27196,27157,27076,25044,25030
"e00834-G",2715,2360,1,3,0,0
"e00834-H",35974,35133,35125,34835,34424,34362
"e00834-I",2230,2005,14,24,0,0
"e00834-J",2825,2513,16,17,14,14
"e00834-K",1703,1419,777,21,0,0
"e00834-L",28050,27350,27085,27280,26411,23640
"e00835-G",3088,2672,2451,6,0,0
"e00835-H",31902,31091,31084,31069,31023,31023
"e00835-I",25591,25347,25343,25344,25340,25279
"e00835-J",40701,40295,40280,40284,40276,40254
"e00835-K",2213,1834,17,12,10,10
"e00835-L",1947,1728,51,49,44,44
"e00836-G",2545,2235,2,53,0,0
"e00836-H",2946,2595,72,63,46,46
"e00836-I",2208,1986,18,12,10,10
"e00836-J",2771,2495,17,17,17,17
"e00836-K",20599,20064,20052,20026,20006,19874
"e00836-L",1924,1684,12,7,7,7
"e00837-G",21355,20870,20829,20870,20674,20673
"e00837-H",23719,23163,22791,23094,22517,19786
"e00837-I",17412,17276,17241,17268,16993,16626
"e00837-J",41563,41189,41173,41180,41170,41170
"e00837-K",20431,19951,19826,19938,19640,19626
"e00837-L",24522,23900,23546,23849,23424,19950
"e00838-G",34485,33637,33630,33611,33307,33171
"e00838-H",54188,52887,52863,52812,49689,49659
"e00838-I",27020,26795,26786,26718,26547,24799
"e00838-J",53483,53044,53028,53004,51927,47774
"e00838-K",1717,1349,19,21,17,17
"e00838-L",2141,1895,1611,34,0,0
"e00839-G",36810,35932,35903,35861,33424,32930
"e00839-H",40309,39366,39345,39194,36854,36049
"e00839-I",30937,30653,30569,30544,29450,27888
"e00839-J",36896,36574,36526,36559,35513,34436
"e00839-K",26998,26360,26205,26165,24646,23238
"e00839-L",33494,32695,32684,32657,30826,29772
"e00840-G",18369,17896,17747,17842,16923,16556
"e00840-H",40779,39776,39759,39737,37762,36690
"e00840-I",8153,8078,7977,8077,7857,6674
"e00840-J",28766,28500,28477,28318,27729,24922
"e00840-K",13402,13027,12922,13020,12459,12381
"e00840-L",26492,25856,25783,25824,24671,23001
"e00904-G",20493,19999,19988,19996,19971,15557
"e00904-H",63962,62462,62388,62264,61024,48495
"e00904-I",32379,32056,32052,31955,31516,26211
"e00904-J",61378,60853,60840,60837,60668,47762
"e00904-K",16832,16412,16241,16396,16095,12591
"e00904-L",49517,48273,47992,48251,47162,37272
"e00905-G",26739,26105,26081,26103,26043,25069
"e00905-H",13989,13641,13580,13555,13182,11367
"e00905-I",29198,28952,28856,28915,28547,23803
"e00905-J",23852,23638,23616,23609,23160,19922
"e00905-K",22751,22143,22093,22057,21763,17592
"e00905-L",20011,19550,19390,19522,18952,16017
"e00906-G",25827,25199,25186,25193,25165,25165
"e00906-H",18231,17777,17766,17744,17714,17651
"e00906-I",41760,41398,41385,41193,41183,41183
"e00906-J",20928,20724,20533,20683,20297,18791
"e00906-K",23334,22721,22705,22625,22548,22063
"e00906-L",18446,17918,17882,17849,17413,15646
"e00907-G",20576,20114,20107,20114,20107,20107
"e00907-H",20936,20451,20442,20441,20423,20400
"e00907-I",25615,25405,25346,25374,24885,23453
"e00907-J",34312,33988,33799,33979,33547,33194
"e00907-K",20129,19604,19592,19599,19518,19456
"e00907-L",29658,28926,28913,28896,28872,28872
"e00908-G",26348,25662,25649,25627,25619,25619
"e00908-H",43617,42517,42214,42279,42013,41991
"e00908-I",26848,26601,26508,26550,25921,24088
"e00908-J",30986,30688,30683,30687,30683,30683
"e00908-K",23544,22936,22919,22893,22872,22854
"e00908-L",38278,37254,37241,37061,37043,36981
"e00909-G",27747,27081,27048,27076,27026,26923
"e00909-H",35230,34403,34313,34063,33102,29855
"e00909-I",4325,3780,2092,2110,2077,1984
"e00909-J",40150,39793,39643,39742,39592,39592
"e00909-K",20018,19524,19520,19523,19506,19506
"e00909-L",36072,35187,35181,35186,35166,35160
"e00910-G",3053,2554,32,20,18,18
"e00910-H",22692,21977,20074,20161,19301,12684
"e00910-I",6007,5518,3279,3311,3262,3262
"e00910-J",34433,34110,34107,34057,34055,34055
"e00910-K",27258,26647,26631,26611,26584,26350
"e00910-L",26525,25814,25797,25777,25466,22021
"e00911-G",33046,32254,32234,32252,31918,28195
"e00911-H",32658,31863,31815,31812,31580,29693
"e00911-I",27896,27667,27654,27615,27612,27362
"e00911-J",9454,9359,9340,9355,9182,7834
"e00911-K",22234,21727,21718,21721,21716,21712
"e00911-L",20570,19949,18835,18847,18027,17266
"e01008-G",3129,2531,230,239,217,217
"e01008-H",56485,55136,55120,55092,52748,52679
"e01008-I",2471,1951,235,236,220,107
"e01008-J",4714,4200,2206,2216,2201,2201
"e01008-K",2164,1674,183,187,167,167
"e01008-L",40772,39755,39703,39736,38231,37932
"e01009-G",3834,3352,883,892,878,878
"e01009-H",3182,2862,27,34,25,25
"e01009-I",2339,1948,1621,701,0,0
"e01009-J",2627,2383,13,28,13,13
"e01009-K",2301,1887,63,1565,0,0
"e01009-L",2402,2108,16,6,6,6
"e01010-G",2449,2133,58,54,53,53
"e01010-H",2570,2212,23,23,20,20
"e01010-I",39409,39045,39039,39016,38723,38723
"e01010-J",2106,1885,27,22,19,19
"e01010-K",1745,1443,71,63,55,55
"e01010-L",29619,28862,28850,28829,27645,27642
"e01011-G",1992,1761,1505,1418,0,0
"e01011-H",28195,27562,27553,27542,26615,26426
"e01011-I",1952,1746,8,17,7,7
"e01011-J",1973,1691,21,20,14,14
"e01011-K",24480,23881,23870,23859,23028,23027
"e01011-L",29233,28564,28562,28564,27599,27593
"e01012-G",38568,37646,37632,37632,37598,37578
"e01012-H",26619,25922,25918,25563,25551,25422
"e01012-I",2217,1808,4,4,4,4
"e01012-J",25352,24701,24696,24173,24078,24009
"e01012-K",33408,32542,32519,32510,32473,31844
"e01012-L",27644,26903,26603,26693,25577,24348
"e01013-G",49157,47931,47074,47929,47046,46936
"e01013-H",44493,43422,43409,43394,43347,43347
"e01013-I",36625,36302,36288,36265,36140,31972
"e01013-J",38192,37839,37486,37817,36676,31948
"e01013-K",36329,35440,35429,35382,35353,35225
"e01013-L",34997,34203,34175,34154,33766,29565
"e01014-G",53664,52338,52321,52308,52298,52290
"e01014-H",49894,48700,48684,48672,48650,48650
"e01014-I",47104,46670,46663,46647,46642,46642
"e01014-J",46701,46281,46273,46084,46078,46053
"e01014-K",42558,41519,41500,41506,41497,41484
"e01014-L",40691,39709,39694,39694,39681,39669
"e01015-G",26494,25627,24233,24264,22882,22460
"e01015-H",31471,30715,30510,30669,29548,26001
"e01015-I",6997,6947,6890,6940,6733,4899
"e01015-J",31929,31637,31620,31562,31413,31403
"e01015-K",23681,22860,22045,22000,20898,20563
"e01015-L",2217,1934,30,27,27,27
"e01112-G",16683,16135,15231,15085,14407,14402
"e01112-H",3556,3070,2714,81,0,0
"e01112-I",23750,23206,21647,21623,21342,21145
"e01112-J",2288,2004,34,2,0,0
"e01112-K",17328,16672,15452,15463,14802,14802
"e01112-L",1828,1547,38,39,33,33
"e01113-G",2809,2466,5,25,0,0
"e01113-H",3462,3016,24,39,8,8
"e01113-I",2626,2331,4,13,4,4
"e01113-J",2639,2366,2255,19,0,0
"e01113-K",1936,1702,1,13,0,0
"e01113-L",59371,57956,57937,57823,55765,55546
"e01114-G",2869,2492,3,4,0,0
"e01114-H",2278,2028,909,16,0,0
"e01114-I",2337,2056,8,9,5,5
"e01114-J",2454,2140,19,22,13,13
"e01114-K",1987,1666,35,36,31,31
"e01114-L",2071,1764,11,6,6,6
"e01115-G",1724,1492,8,15,8,8
"e01115-H",6989,6627,4258,4270,4254,4251
"e01115-I",1988,1714,1538,4,0,0
"e01115-J",2146,1911,818,98,0,0
"e01115-K",1253,1053,9,12,0,0
"e01115-L",1665,1418,44,33,33,33
"e01116-G",3210,2663,86,83,75,75
"e01116-H",2655,2013,38,39,31,31
"e01116-I",2803,2316,3,3,0,0
"e01116-J",2220,1620,20,24,16,16
"e01116-K",1918,1580,11,11,11,11
"e01116-L",35238,34342,34337,34335,34334,34334
"e01117-G",3183,2600,4,2,0,0
"e01117-H",2887,2391,501,85,0,0
"e01117-I",2459,2039,8,139,0,0
"e01117-J",2367,1981,4,24,0,0
"e01117-K",1829,1464,1228,83,0,0
"e01117-L",1816,1428,1168,17,0,0
"e01118-G",2724,2489,28,31,18,18
"e01118-H",2625,1951,1871,404,0,0
"e01118-I",2421,2223,45,5,0,0
"e01118-J",2114,1501,3,77,0,0
"e01118-K",34713,33743,32818,32807,31292,31033
"e01118-L",1810,1269,3,8,0,0
"e01119-G",2832,2573,7,7,7,7
"e01119-H",2745,2466,2414,184,0,0
"e01119-I",1273,1142,3,11,3,3
"e01119-J",3157,2770,8,40,0,0
"e01119-K",1964,1716,5,7,0,0
"e01119-L",2271,1983,2,7,0,0
"NegCon-H",2444,2080,3,85,0,0
"NegCon-J",62117,61573,61254,61502,59302,59259
"NegCon-L",2005,1593,1475,14,0,0
"PosCon-H",31332,30511,30270,30471,29045,28890
"PosCon-J",37432,37111,37039,37056,36514,36359
"PosCon-L",29314,28599,28562,28492,27712,27707
